journal,avgAbstractLength
http://SDM_LAB2.org/jv9914,3670.0
http://SDM_LAB2.org/jv18446,3163.0
http://SDM_LAB2.org/cp57,2770.0
http://SDM_LAB2.org/jv12685,2634.0
http://SDM_LAB2.org/cp43,2497.0
http://SDM_LAB2.org/cp109,2463.0
http://SDM_LAB2.org/jv15707,2188.0
http://SDM_LAB2.org/cp61,1996.0
http://SDM_LAB2.org/jv2811,1989.0
http://SDM_LAB2.org/cp49,1985.0
http://SDM_LAB2.org/cp225,1912.0
http://SDM_LAB2.org/jv2568,1901.0
http://SDM_LAB2.org/cp99,1825.0
http://SDM_LAB2.org/cp103,1821.0
http://SDM_LAB2.org/jv17568,1821.0
http://SDM_LAB2.org/cp71,1781.0
http://SDM_LAB2.org/cp165,1776.0
http://SDM_LAB2.org/cp5,1727.0
http://SDM_LAB2.org/jv19457,1684.0
http://SDM_LAB2.org/cp105,1647.0
http://SDM_LAB2.org/cp121,1643.0
http://SDM_LAB2.org/cp129,1624.0
http://SDM_LAB2.org/jv5791,1606.0
http://SDM_LAB2.org/jv18237,1587.0
http://SDM_LAB2.org/cp91,1516.0
http://SDM_LAB2.org/jv8004,1489.0
http://SDM_LAB2.org/cp45,1467.0
http://SDM_LAB2.org/cp59,1464.0
http://SDM_LAB2.org/cp21,1426.0
http://SDM_LAB2.org/jv19965,1420.0
http://SDM_LAB2.org/cp223,1403.0
http://SDM_LAB2.org/cp163,1399.0
http://SDM_LAB2.org/jv11284,1394.0
http://SDM_LAB2.org/cp147,1381.0
http://SDM_LAB2.org/cp215,1379.0
http://SDM_LAB2.org/cp183,1377.0
http://SDM_LAB2.org/jv5051,1372.0
http://SDM_LAB2.org/cp75,1371.0
http://SDM_LAB2.org/jv15787,1350.0
http://SDM_LAB2.org/cp189,1341.0
http://SDM_LAB2.org/cp173,1334.0
http://SDM_LAB2.org/jv15087,1334.0
http://SDM_LAB2.org/cp115,1329.0
http://SDM_LAB2.org/jv8433,1309.0
http://SDM_LAB2.org/cp149,1303.0
http://SDM_LAB2.org/jv5390,1293.0
http://SDM_LAB2.org/jv11835,1290.0
http://SDM_LAB2.org/cp31,1285.0
http://SDM_LAB2.org/jv2695,1282.0
http://SDM_LAB2.org/cp51,1268.0
http://SDM_LAB2.org/jv1636,1267.0
